title;brand;gtin;price;currency;stock;sku
"Lenovo ThinkPad E15 15.6"", 256 GB, Matte, Black";Lenovo;4262595980761;257,21;EUR;in stock;LAB-4537
"PEAQ PTV 32H-5024C HD-Ready TV 32""";PEAQ;4049011197039;142,59;EUR;out of stock;LAB-4538
"PEAQ PTV 32GH-5026C HD-Ready Google TV 32""";PEAQ;4049011222830;149,00;EUR;in stock;LAB-4539
"Samsung GU 50 TU 8079 UXZG 50"", Schieferschwarz, stand";Samsung;8806090417979;379,88;EUR;in stock;LAB-4540
SAMSUNG GU 65 AU 7199 UXZG LED TV (Flat, 65 Zoll / 163 cm, UHD 4K, SMART TV, Tizen);Samsung;8806092076754;473,37;EUR;out of stock;LAB-4541
"STRONG SRT24HE4023 HD TV 24""";STRONG;9120072375002;139,15;EUR;in stock;LAB-4542
PANASONIC TV-65Z80AEZ TV (Flat, 65 Zoll / 164 cm, OLED 4K, SMART TV);Panasonic;5025232969036;1601,58;EUR;out of stock;LAB-4543
SONY KD 65 X 85 LAEP LED TV (Flat, 65 Zoll / 165 cm, UHD 4K, SMART TV, Google TV);Sony;4548736150980;1571,56;EUR;in stock;LAB-4544
SAMSUNG OLED GQ 77 S 95 DATXZG OLED TV (Flat, 77 Zoll / 195 cm, OLED 4K, SMART TV);Samsung;8806095414997;4265,86;EUR;in stock;LAB-4545
LG ELECTRONICS OLED65C69LB (2026) 65 Zoll OLED evo AI C6 4K Smart TV;LG Electronics;8806096686027;2598,96;EUR;in stock;LAB-4546
Apple iPhone 17, 256 GB, Nebelblau, Dual SIM;Apple;0195950643985;900,62;EUR;in stock;LAB-4547
Apple iPhone 17, 256 GB, White, Dual SIM;Apple;0195950643787;882,24;EUR;in stock;LAB-4548
Apple iPhone 17 Pro Max, 1 TB, Cosmic Orange, Dual SIM;Apple;0195950640298;2031,93;EUR;in stock;LAB-4550
Apple iPhone 17 Pro, 512 GB, Silver, Dual SIM;Apple;0195950627848;1469,02;EUR;in stock;LAB-4551
Apple iPhone 17 Pro Max, 512 GB, Deep Blue, Dual SIM;Apple;0195950639896;1786,51;EUR;in stock;LAB-4552
Xiaomi Redmi 15C, 128 GB, Mint Green, Dual SIM;Xiaomi;6932554455484;117,59;EUR;preorder;LAB-4554
Apple IPHONE 15 PLUS Pink Dual SIM, 128 GB, Pink;Apple;0195949040917;640,73;EUR;preorder;LAB-4555
"ProCaster LE-24A551H HD Ready LED TV 24"", 12 V";ProCaster;6438148044398;202,98;EUR;out of stock;LAB-4556
"Samsung UE32T5372CD Full HD Smart LED TV 32""";Samsung;8806094908572;287,49;EUR;in stock;LAB-4557
"Sony Bravia 9 75"", Gray";Sony;4548736159624;3742,96;EUR;preorder;LAB-4558
"Lenovo V17 Gen 4 17.3"", Windows 11 Pro (83A2003FMX)";Lenovo;0198153165865;849,99;EUR;preorder;LAB-4559
"HP ZBook Fury 16 G11 16"", Windows 11 Pro 64-bit (98K03ET)";HP;0198415234391;8685,60;EUR;in stock;LAB-4560
"FPD G500 32"" (2025), Black, stand";FPD;6921958600422;248,56;EUR;in stock;LAB-4561
"Samsung DU9072 98"" (2024), Black";Samsung;8806095544137;2969,01;EUR;in stock;LAB-4562
Samsung Galaxy A16 LTE, 128 GB, Light Green;Samsung;8806095823003;137,79;EUR;in stock;LAB-4563
"Samsung U80 55"" (2025), Black";Samsung;8806097067603;1845,80;EUR;in stock;LAB-4564
"Samsung U80 65"" (2025), Black, stand";Samsung;8806097067627;4178,00;EUR;in stock;LAB-4565
"LG OLED evo G5 55"" 4K, stand";LG Electronics;8806096363683;2389,08;EUR;in stock;LAB-4567
"LG OLED B4E 4K TV 55""";LG Electronics;8806096172704;1259,10;EUR;in stock;LAB-4568
"LG QNED87A 55"", Black";LG Electronics;8806096317914;1187,01;EUR;in stock;LAB-4569
"LG QNED86A 75"", Glossy, Black";LG Electronics;8806096362006;2018,99;EUR;in stock;LAB-4570
"HP ZBook 8 G1i 14"", 2 TB, Meteor silver";HP;0199251712005;3585,82;EUR;in stock;LAB-4571
"HP ZBook 8 G1a 14"", 512 GB, Meteor silver";HP;0199251712258;2638,16;EUR;in stock;LAB-4572
"TCL S5409 32"", Gray";TCL;5901292520144;158,86;EUR;in stock;LAB-4573
"HP VICTUS 15-fb2001no 15.6"", 512 GB, Wi-Fi, Mica silver";HP;0199251660788;1053,99;EUR;preorder;LAB-4574
"Lenovo ThinkPad E16 Gen 3 tietokone 16"", Windows 11 Pro (21SR0045MX)";Lenovo;0198158351157;1080,99;EUR;in stock;LAB-4575
"Asus ROG Strix G16 pelikannettava 16"", Windows 11 (G614FR-S5113W)";Asus;4711387971314;2851,99;EUR;in stock;LAB-4576
"ProCaster SL970H 65"" (2026), Black, stand";ProCaster;6438148064105;707,41;EUR;preorder;LAB-4577
"Asus ProArt P16 16"", 1 TB, Wi-Fi, Black, OLED, RTX 5060";Asus;4711636017916;2537,99;EUR;preorder;LAB-4578
"FPD ML970 65"" (2025), Black, 4K, Mini-LED, Google TV";FPD;6921958600958;640,93;EUR;in stock;LAB-4579
Lenovo Thinkpad P16v Gen 3 tietokone, Windows 11 Pro (21RS000WMX);Lenovo;0199271933466;4619,19;EUR;out of stock;LAB-4580
Lenovo Thinkpad P16v Gen 3 tietokone, Windows 11 Pro (21RS000SMX);Lenovo;0199271935644;4658,04;EUR;in stock;LAB-4581
Lenovo ThinkPad P16 Gen 3 tietokone, Windows 11 Pro (21RQ000JMX);Lenovo;0199271681541;7324,60;EUR;in stock;LAB-4582
Lenovo ThinkPad P16 Gen 3 tietokone, Windows 11 Pro (21RQ0007MX);Lenovo;0199271686140;7450,30;EUR;in stock;LAB-4583
"TCL C6K 50"", Black, 4K, QD Mini-LED, Google TV";TCL;5901292528744;1078,92;EUR;in stock;LAB-4584
HP ZBook Fury G1i 18 tietokone, Windows 11 Pro (98L68ET);HP;0199485083421;6197,33;EUR;in stock;LAB-4585
"Samsung U7022F 65"" (2025), Titanium grey";Samsung;8806097253020;472,77;EUR;preorder;LAB-4586
"LG OLED evo C5 55"" 4K (C51)";LG Electronics;8806096381885;751,44;EUR;preorder;LAB-4587
"TCL P7K 85"" 4K QLED";TCL;5901292525903;1906,94;EUR;in stock;LAB-4588
"Samsung U7022F 43"" (2025), Titanium grey";Samsung;8806097253211;484,03;EUR;in stock;LAB-4589
"LG UA75 55"" (2025), Black";LG Electronics;8806096353172;700,92;EUR;preorder;LAB-4591
"Lenovo ThinkPad T14 Gen 6 14"", 512 GB, Wi-Fi, Black";Lenovo;0199273948192;2057,12;EUR;preorder;LAB-4592
"Samsung S91F 83"" 4K OLED (TQ)";Samsung;8806097870661;2988,85;EUR;in stock;LAB-4593
"Samsung QN70F 75"" (2025), Black, 4K, Mini-LED";Samsung;8806095973517;2278,86;EUR;in stock;LAB-4594
"Dell Pro 15 Essential 15.6"" (YFTTM), 512 GB, Wi-Fi, Black";Dell;5397184989500;1121,04;EUR;in stock;LAB-4595
Dell Pro 14 tietokone, Windows 11 Pro (16DVH);Dell;5397184986837;1714,65;EUR;preorder;LAB-4596
Dell Pro Max 14 tietokone, Windows 11 Pro (52M08);Dell;5397184985953;3562,02;EUR;in stock;LAB-4597
"TCL P81K 75"" 4K QLED";TCL;5901292526931;862,92;EUR;in stock;LAB-4598
"TCL C7L 98"", Black";TCL;5901292529918;4948,90;EUR;in stock;LAB-4599
"TCL C7L 65"", Black";TCL;5901292529949;1819,09;EUR;in stock;LAB-4600
"Samsung S85F 83"" 4K OLED";Samsung;8806095994574;1784,15;EUR;in stock;LAB-4602
